age,height_cm,weight_kg,overall,weak_foot,skill_moves,shooting,passing,dribbling,defending,physic,player_positions
27,176,79,86,3,4,77,83,91,59,60,MEIA
27,181,76,86,4,4,82,80,87,61,78,ATACANTE
31,184,78,86,4,3,81,86,81,74,70,MEIA
29,178,72,86,4,3,68,87,85,75,67,MEIA
31,180,69,86,2,5,79,84,87,48,68,MEIA
32,190,85,86,4,2,58,69,70,87,79,ZAGUEIRO
27,172,68,86,4,5,80,84,90,52,64,MEIA
30,182,74,86,4,3,80,88,79,70,69,MEIA
29,186,75,86,4,3,83,79,78,55,71,MEIA
29,185,85,86,4,3,85,63,81,39,76,ATACANTE
28,175,73,86,4,4,85,75,86,40,74,ATACANTE
19,189,89,85,4,2,58,66,68,83,84,ZAGUEIRO
20,196,90,85,3,1,0,0,0,0,0,GOLEIRO
22,180,74,85,3,4,64,84,87,76,76,MEIA
26,191,81,85,3,2,45,62,63,85,80,ZAGUEIRO
23,195,97,85,3,2,42,55,50,86,82,ZAGUEIRO
24,191,76,85,4,4,79,80,83,77,84,MEIA
23,191,82,85,4,3,68,77,77,82,80,VOLANTE
24,184,77,85,4,3,78,79,81,78,78,MEIA
25,188,78,85,2,3,69,78,77,85,83,VOLANTE
25,178,64,85,2,3,62,77,79,80,75,ZAGUEIRO
24,185,80,85,3,2,45,52,54,86,82,ZAGUEIRO
24,186,81,85,4,2,45,68,65,86,80,ZAGUEIRO
24,179,69,85,4,4,83,87,85,65,74,MEIA
28,184,81,85,2,1,0,0,0,0,0,GOLEIRO
29,192,86,85,2,1,0,0,0,0,0,GOLEIRO
28,187,85,85,2,1,0,0,0,0,0,GOLEIRO
26,190,94,85,4,3,82,73,72,35,84,ATACANTE
28,189,83,85,2,2,25,42,60,86,81,ZAGUEIRO
29,190,84,85,2,1,0,0,0,0,0,GOLEIRO
27,180,78,85,4,3,73,81,80,80,76,ZAGUEIRO
26,181,75,85,4,3,84,61,77,36,69,ATACANTE
27,173,73,85,3,3,47,78,81,82,80,ZAGUEIRO
26,181,65,85,2,4,75,86,83,50,66,MEIA
37,195,95,85,4,5,88,77,77,34,78,ATACANTE
31,165,68,85,4,4,78,81,86,39,55,MEIA
31,186,89,85,4,3,85,71,80,31,71,ATACANTE
32,180,75,85,2,2,66,76,78,83,81,VOLANTE
29,185,82,85,3,4,87,82,82,58,76,MEIA
31,174,75,85,4,5,74,83,89,77,79,ZAGUEIRO
30,186,81,85,4,4,74,80,79,83,81,VOLANTE
28,180,80,85,3,3,65,77,80,82,82,ZAGUEIRO
31,176,67,85,3,3,84,77,85,35,64,ATACANTE
27,176,74,85,4,3,75,86,82,74,79,VOLANTE
27,180,75,85,2,4,86,87,86,50,63,MEIA
28,175,74,85,3,4,71,78,84,85,84,MEIA
19,180,76,84,4,5,72,77,90,36,60,VOLANTE
20,188,83,84,4,4,78,79,84,44,65,MEIA
22,178,67,84,5,5,79,80,87,36,57,MEIA
24,186,85,84,4,1,0,0,0,0,0,GOLEIRO
25,182,74,84,3,4,65,80,84,78,71,ZAGUEIRO
23,188,80,84,3,4,81,79,82,71,79,MEIA
23,182,76,84,3,2,54,70,71,83,82,ZAGUEIRO
22,171,73,84,3,4,71,81,86,73,70,MEIA
25,176,78,84,3,5,80,81,84,32,78,ATACANTE
24,189,79,84,4,3,77,80,81,75,79,MEIA
23,185,83,84,4,4,78,81,85,40,68,MEIA
23,179,75,84,3,4,76,77,87,29,60,VOLANTE
23,175,75,84,4,4,82,75,86,43,69,VOLANTE
25,173,75,84,3,4,82,81,88,33,77,MEIA
27,190,83,84,3,1,0,0,0,0,0,GOLEIRO
26,183,74,84,3,4,76,84,85,49,59,MEIA
26,181,71,84,2,3,72,84,81,80,76,ZAGUEIRO
27,196,81,84,3,1,0,0,0,0,0,GOLEIRO
27,189,78,84,4,2,41,62,68,86,74,ZAGUEIRO
26,175,70,84,4,4,77,79,89,55,61,VOLANTE
36,188,81,84,3,2,51,57,60,85,85,ZAGUEIRO
32,170,61,84,4,3,75,85,82,71,67,MEIA
32,188,93,84,3,1,0,0,0,0,0,GOLEIRO
32,192,80,84,2,1,0,0,0,0,0,GOLEIRO
31,183,73,84,5,3,77,83,83,72,69,MEIA
31,186,85,84,2,2,51,52,60,84,83,ZAGUEIRO
32,179,78,84,3,3,66,76,78,83,73,VOLANTE
30,180,76,84,2,4,72,86,84,24,56,MEIA
30,192,86,84,3,2,55,69,63,86,83,VOLANTE
30,183,79,84,4,1,0,0,0,0,0,GOLEIRO
33,193,80,84,5,2,84,71,75,46,73,ATACANTE
28,175,69,84,3,4,73,78,84,76,78,MEIA
30,186,80,84,5,4,80,78,82,62,77,VOLANTE
33,190,85,84,3,3,80,71,75,65,86,ATACANTE
32,180,75,84,4,3,79,80,78,85,86,MEIA
30,192,90,84,4,2,50,72,65,84,82,ZAGUEIRO
29,178,76,84,3,2,55,77,73,85,76,ZAGUEIRO
32,178,73,84,3,3,78,75,83,47,64,VOLANTE
28,180,80,84,4,4,74,84,84,72,71,MEIA
30,183,80,84,3,4,81,77,80,78,85,MEIA
29,183,70,84,2,2,63,76,77,81,81,ZAGUEIRO
28,176,65,84,3,4,79,83,81,51,66,MEIA
28,172,70,84,3,5,73,79,91,43,61,VOLANTE
29,177,72,84,4,3,77,84,81,63,68,VOLANTE
30,181,76,84,3,4,80,84,85,41,71,MEIA
31,190,79,84,4,4,84,84,85,43,67,ATACANTE
28,179,67,84,4,5,78,79,89,38,59,MEIA
29,172,63,84,4,4,79,79,83,47,64,VOLANTE
30,190,83,84,3,2,41,57,60,84,87,ZAGUEIRO
23,189,70,83,4,4,78,78,83,74,69,MEIA
24,188,78,83,3,2,40,55,66,85,79,ZAGUEIRO
23,177,68,83,3,4,78,82,85,65,72,MEIA
20,180,69,83,4,3,62,82,78,78,70,ZAGUEIRO
21,182,85,83,5,3,82,68,81,29,74,ATACANTE
25,186,78,83,3,4,85,64,76,39,74,ATACANTE
23,184,76,83,3,4,81,72,86,41,71,MEIA
25,190,80,83,4,4,82,80,81,57,72,MEIA
23,195,97,83,4,2,27,59,57,83,81,ZAGUEIRO
24,181,81,83,3,3,77,79,78,76,79,MEIA
24,189,77,83,3,1,0,0,0,0,0,GOLEIRO
22,179,68,83,4,4,79,76,84,36,70,VOLANTE
24,183,73,83,3,4,81,75,85,33,67,VOLANTE
23,187,91,83,3,2,45,68,72,83,80,ZAGUEIRO
21,186,70,83,3,5,82,73,84,45,77,ATACANTE
25,188,70,83,4,3,36,70,72,84,77,ZAGUEIRO
24,192,80,83,3,3,74,79,80,77,80,MEIA
23,171,69,83,2,3,63,79,84,77,71,ZAGUEIRO
23,180,75,83,4,3,81,67,83,35,69,ATACANTE
23,171,62,83,2,4,76,82,85,59,67,VOLANTE
23,187,79,83,3,2,45,57,66,83,81,ZAGUEIRO
23,182,76,83,3,4,80,82,84,43,62,MEIA
25,178,74,83,3,3,69,79,79,80,76,ZAGUEIRO
25,187,77,83,5,4,79,81,86,55,63,MEIA
25,185,77,83,4,1,0,0,0,0,0,GOLEIRO
25,180,71,83,4,4,80,75,87,39,64,VOLANTE
26,187,86,83,3,3,83,63,76,35,82,ATACANTE
27,197,86,83,2,1,0,0,0,0,0,GOLEIRO
26,180,66,83,3,5,76,72,88,27,74,ATACANTE
25,175,72,83,4,3,84,68,80,36,63,ATACANTE
26,189,84,83,4,3,79,71,80,31,72,ATACANTE
25,190,82,83,2,3,81,62,76,51,82,ATACANTE
27,187,83,83,4,3,57,77,74,79,85,VOLANTE
25,185,77,83,3,5,75,81,87,60,66,VOLANTE
27,178,72,83,4,2,37,61,61,83,79,ZAGUEIRO
27,181,71,83,3,4,76,83,81,55,50,MEIA
28,189,86,83,4,1,0,0,0,0,0,GOLEIRO
28,184,73,83,3,3,61,73,72,82,74,ZAGUEIRO
27,174,70,83,4,4,76,82,84,57,57,MEIA
30,185,83,83,3,1,0,0,0,0,0,GOLEIRO
26,174,70,83,4,4,79,76,87,42,66,ATACANTE
26,179,70,83,3,4,80,81,83,41,69,MEIA
27,180,67,83,3,3,63,84,81,70,73,MEIA
41,192,92,83,2,1,0,0,0,0,0,GOLEIRO
38,185,84,83,2,1,0,0,0,0,0,GOLEIRO
34,190,86,83,4,1,0,0,0,0,0,GOLEIRO
33,190,85,83,3,2,53,65,64,84,79,ZAGUEIRO
33,190,82,83,3,2,41,61,63,86,72,ZAGUEIRO
36,180,79,83,4,4,89,75,80,30,65,ATACANTE
32,189,89,83,3,1,0,0,0,0,0,GOLEIRO
33,177,72,83,4,3,82,69,77,43,72,ATACANTE
34,186,78,83,3,2,49,60,68,84,74,ZAGUEIRO
30,177,77,83,2,4,82,78,84,31,67,MEIA
32,189,90,83,3,2,60,67,62,82,81,ZAGUEIRO
31,190,84,83,2,1,0,0,0,0,0,GOLEIRO
31,176,77,83,3,3,79,78,83,83,82,MEIA
31,174,71,83,4,4,73,84,82,77,70,VOLANTE
30,188,86,83,4,2,82,64,75,49,85,ATACANTE
32,189,90,83,4,2,74,78,77,80,80,MEIA
32,189,86,83,3,3,65,74,70,82,77,ZAGUEIRO
31,180,76,83,4,4,83,83,83,45,70,ATACANTE
29,182,80,83,3,3,70,83,77,78,80,VOLANTE
29,186,77,83,4,3,81,84,80,57,69,MEIA
28,183,76,83,3,3,77,79,80,68,74,MEIA
29,179,75,83,3,3,71,80,79,80,71,VOLANTE
29,180,72,83,3,3,65,80,77,82,74,VOLANTE
29,192,85,83,3,1,0,0,0,0,0,GOLEIRO
31,183,81,83,3,2,57,63,59,83,78,ZAGUEIRO
31,179,72,83,3,5,72,77,88,66,67,VOLANTE
29,174,66,83,3,3,59,70,78,85,78,VOLANTE
28,178,67,83,4,3,67,80,86,63,62,MEIA
28,182,77,83,3,4,80,74,82,44,70,ATACANTE
30,171,70,83,4,3,72,82,81,74,73,MEIA
28,170,68,83,5,4,82,77,85,39,61,ATACANTE
31,192,88,83,3,3,50,61,63,86,82,ZAGUEIRO
27,188,83,83,3,3,63,72,74,82,85,VOLANTE
28,177,73,83,4,4,85,73,85,30,71,ATACANTE
27,188,83,83,3,4,84,62,72,33,75,ATACANTE
27,185,80,83,3,2,43,56,64,85,77,ZAGUEIRO
27,177,75,83,4,4,77,83,84,35,72,MEIA
22,181,78,82,3,3,82,79,83,39,61,MEIA
21,178,79,82,4,4,77,75,84,33,64,MEIA
22,175,73,82,3,4,80,72,86,39,71,ATACANTE
25,176,78,82,4,4,68,81,86,67,70,MEIA
25,181,72,82,5,3,81,57,77,41,82,ATACANTE
24,193,78,82,2,1,0,0,0,0,0,GOLEIRO
24,172,64,82,4,4,73,76,88,65,66,MEIA
23,168,64,82,3,3,67,77,80,81,75,VOLANTE
22,180,80,82,4,3,74,83,76,70,73,MEIA
23,189,80,82,3,2,39,67,67,81,83,ZAGUEIRO
21,178,78,82,2,4,75,76,85,40,73,MEIA
23,187,93,82,3,1,0,0,0,0,0,GOLEIRO
25,177,67,82,3,4,57,69,81,77,75,ZAGUEIRO
26,195,94,82,3,1,0,0,0,0,0,GOLEIRO
26,188,77,82,3,1,0,0,0,0,0,GOLEIRO
24,190,84,82,3,2,39,55,64,85,74,ZAGUEIRO
24,171,68,82,4,4,80,75,86,54,65,VOLANTE
25,186,79,82,2,4,80,72,80,41,82,ATACANTE
23,175,70,82,3,4,76,73,83,41,66,MEIA
24,173,74,82,3,5,71,74,86,47,61,VOLANTE
28,186,78,82,3,1,0,0,0,0,0,GOLEIRO
26,185,77,82,3,3,72,77,77,79,84,MEIA
25,182,72,82,4,4,74,82,84,64,70,MEIA
27,194,90,82,2,2,46,68,67,83,76,ZAGUEIRO
25,176,70,82,3,4,76,83,87,33,53,MEIA
28,187,79,82,3,2,35,54,56,84,72,ZAGUEIRO
26,190,85,82,3,2,43,67,63,82,78,ZAGUEIRO
27,186,81,82,2,1,0,0,0,0,0,GOLEIRO
25,175,70,82,4,3,64,77,81,79,73,ZAGUEIRO
26,172,65,82,2,3,57,72,76,80,81,ZAGUEIRO
26,192,85,82,3,1,0,0,0,0,0,GOLEIRO
30,189,87,82,3,1,0,0,0,0,0,GOLEIRO
26,170,66,82,3,4,72,77,87,51,58,MEIA
27,176,75,82,4,4,78,85,86,56,70,ATACANTE
27,182,79,82,4,3,73,74,75,83,82,VOLANTE
29,187,82,82,1,1,0,0,0,0,0,GOLEIRO
27,189,93,82,4,4,82,68,75,40,81,ATACANTE
27,178,68,82,3,4,63,81,78,77,73,ZAGUEIRO
26,181,83,82,2,3,52,76,80,74,76,MEIA
26,179,83,82,4,3,84,79,79,41,83,ATACANTE
29,180,76,82,4,2,37,66,64,81,79,ZAGUEIRO
28,187,79,82,2,2,49,69,65,83,81,ZAGUEIRO
26,175,80,82,3,3,65,76,80,78,78,ZAGUEIRO
26,194,100,82,3,2,53,64,69,81,84,ZAGUEIRO
26,175,71,82,4,4,77,80,86,47,64,VOLANTE
27,179,74,82,4,4,71,81,83,33,62,MEIA
26,184,82,82,2,3,76,77,81,67,78,VOLANTE
25,171,67,82,4,4,77,78,84,42,57,VOLANTE
26,172,66,82,3,4,71,74,86,50,52,VOLANTE
36,188,92,82,3,1,0,0,0,0,0,GOLEIRO
35,184,83,82,4,2,64,73,69,85,77,VOLANTE
38,182,78,82,3,3,82,64,75,49,74,ATACANTE
33,170,60,82,2,4,69,77,83,69,53,VOLANTE
34,168,65,82,5,4,73,85,83,65,58,MEIA
29,185,80,82,4,3,75,75,76,78,81,MEIA
33,178,63,82,4,3,63,81,81,77,68,VOLANTE
34,190,83,82,2,1,0,0,0,0,0,GOLEIRO
33,195,90,82,2,1,0,0,0,0,0,GOLEIRO
31,170,63,82,3,4,74,83,83,36,47,MEIA
32,193,92,82,3,3,81,71,72,42,79,ATACANTE
30,191,84,82,3,2,55,63,55,81,78,ZAGUEIRO
30,175,78,82,4,4,78,80,85,49,60,MEIA
33,192,84,82,3,3,49,65,67,81,82,ZAGUEIRO
30,192,83,82,4,4,79,77,82,47,82,ATACANTE
30,169,62,82,3,4,78,77,85,44,73,MEIA
29,172,68,82,3,4,77,79,83,46,75,MEIA
33,187,81,82,3,3,74,81,76,82,79,ZAGUEIRO
28,189,88,82,4,4,82,73,79,24,76,ATACANTE
31,174,69,82,3,5,78,79,86,46,73,VOLANTE
31,172,64,82,3,4,79,75,86,47,69,MEIA
30,196,89,82,3,2,82,57,66,45,80,ATACANTE
29,181,75,82,3,4,77,82,82,72,69,MEIA
31,169,65,82,5,4,77,77,84,43,56,MEIA
28,188,86,82,3,2,79,71,69,51,78,ATACANTE
26,178,72,82,3,5,78,71,84,42,60,MEIA
29,182,73,82,4,3,72,78,80,82,77,MEIA
27,169,72,82,4,5,77,81,85,46,69,MEIA
28,187,80,82,3,3,60,74,79,81,79,MEIA
28,196,92,82,3,2,43,55,59,83,85,ZAGUEIRO
28,182,74,82,4,3,81,72,80,35,76,ATACANTE
27,191,90,82,4,3,75,77,75,78,84,ZAGUEIRO
29,184,81,82,3,4,76,74,85,34,71,MEIA
26,175,62,82,3,4,78,76,83,58,72,MEIA
27,174,72,82,4,5,79,79,83,40,67,MEIA
32,179,74,82,3,3,81,65,74,55,75,ATACANTE
28,189,88,82,4,3,81,56,76,37,83,ATACANTE
31,180,70,82,4,4,81,76,85,58,69,ATACANTE
31,190,85,82,2,1,0,0,0,0,0,GOLEIRO
35,181,82,82,3,2,61,57,62,82,80,ZAGUEIRO
31,175,70,82,4,2,57,74,77,82,74,VOLANTE
27,185,80,82,3,2,43,56,65,83,76,ZAGUEIRO
27,177,75,82,4,4,77,81,82,40,71,MEIA
21,174,81,81,4,4,77,68,82,40,83,ATACANTE
21,175,70,81,3,4,71,79,83,66,67,MEIA
22,181,76,81,3,4,65,78,87,70,78,MEIA
21,186,78,81,2,2,50,66,71,81,81,ZAGUEIRO
25,184,78,81,3,1,0,0,0,0,0,GOLEIRO
22,184,74,81,3,3,78,77,79,71,79,MEIA
24,187,80,81,4,3,50,72,72,82,78,ZAGUEIRO
22,179,70,81,3,4,67,79,84,68,68,MEIA
23,178,67,81,3,4,76,79,80,71,68,MEIA
25,184,82,81,4,3,68,77,79,81,84,MEIA
24,172,66,81,3,4,61,77,80,75,69,ZAGUEIRO
22,175,66,81,3,5,73,73,87,36,65,MEIA
25,180,75,81,5,4,72,81,84,70,61,MEIA
27,189,84,81,3,1,0,0,0,0,0,GOLEIRO
26,185,82,81,3,3,67,81,71,69,78,MEIA
26,174,71,81,4,4,76,79,84,68,60,MEIA
26,188,80,81,2,4,73,76,79,78,88,MEIA
25,177,77,81,4,3,80,76,80,57,77,MEIA
23,181,75,81,2,3,54,75,80,80,78,ZAGUEIRO
26,170,69,81,4,3,79,61,79,25,73,ATACANTE
26,184,76,81,3,3,74,73,77,79,82,VOLANTE
22,183,74,81,4,3,62,67,74,83,82,VOLANTE
26,192,90,81,3,1,0,0,0,0,0,GOLEIRO
26,186,83,81,3,2,37,52,56,82,80,ZAGUEIRO
26,181,79,81,3,4,81,76,78,39,74,ATACANTE
25,193,78,81,3,3,74,67,75,56,82,ATACANTE
25,163,70,81,4,3,73,78,83,46,61,VOLANTE
25,191,89,81,3,2,58,69,65,82,77,ZAGUEIRO
25,170,71,81,2,4,75,82,85,66,57,VOLANTE
26,179,73,81,4,4,69,80,83,64,67,MEIA
27,177,80,81,3,4,70,78,79,77,74,VOLANTE
27,183,78,81,4,2,33,48,65,83,75,ZAGUEIRO
26,181,68,81,4,3,73,79,80,76,73,VOLANTE
27,182,74,81,4,4,75,80,84,37,61,MEIA
26,173,62,81,5,5,70,75,88,62,54,VOLANTE
30,180,76,81,4,1,0,0,0,0,0,GOLEIRO
30,188,85,81,3,1,0,0,0,0,0,GOLEIRO
28,186,80,81,2,2,67,76,67,78,84,VOLANTE
27,180,77,81,4,3,79,66,78,45,69,ATACANTE
26,197,84,81,3,3,80,59,69,39,83,ATACANTE
35,175,67,81,4,5,73,82,86,24,63,VOLANTE
35,189,84,81,2,2,64,73,62,83,81,ZAGUEIRO
33,175,70,81,4,3,70,82,77,77,78,MEIA
36,174,72,81,4,4,82,73,80,50,70,ATACANTE
33,184,77,81,3,4,82,66,75,36,74,ATACANTE
31,185,85,81,2,4,68,77,87,77,80,MEIA
32,179,77,81,3,3,73,87,77,60,56,MEIA
32,189,82,81,3,1,0,0,0,0,0,GOLEIRO
33,186,75,81,3,2,43,63,64,82,74,ZAGUEIRO
33,192,86,81,2,2,42,54,53,82,79,ZAGUEIRO
31,186,86,81,4,4,73,79,79,71,72,MEIA
35,187,81,81,3,2,38,54,60,81,76,ZAGUEIRO
32,169,67,81,2,4,68,81,82,72,68,MEIA
34,184,79,81,4,2,68,75,73,82,78,ZAGUEIRO
32,172,70,81,4,3,79,74,77,43,67,ATACANTE
32,175,77,81,4,4,77,82,81,38,67,MEIA
32,177,76,81,3,3,73,84,74,67,71,MEIA
32,190,92,81,2,1,0,0,0,0,0,GOLEIRO
31,188,77,81,3,2,48,62,63,82,74,ZAGUEIRO
33,190,74,81,2,1,0,0,0,0,0,GOLEIRO
29,187,91,81,3,3,70,78,79,79,89,MEIA
34,184,75,81,4,3,76,76,75,79,79,VOLANTE
31,183,76,81,2,3,62,71,70,81,82,VOLANTE
31,173,66,81,2,4,72,80,82,41,58,MEIA
32,163,61,81,4,4,79,79,87,27,56,ATACANTE
31,187,78,81,3,3,60,69,69,80,82,VOLANTE
29,184,77,81,3,2,44,64,70,82,74,ZAGUEIRO
30,194,85,81,3,3,68,77,72,80,78,VOLANTE
28,188,87,81,3,3,73,79,77,79,79,ZAGUEIRO
30,177,75,81,5,4,76,78,83,55,66,VOLANTE
28,185,80,81,3,3,63,76,75,82,82,ZAGUEIRO
28,173,67,81,3,4,77,76,80,77,73,ZAGUEIRO
31,182,71,81,4,4,81,73,82,39,70,ATACANTE
30,186,82,81,3,4,78,80,81,58,72,MEIA
28,173,70,81,4,4,73,79,82,58,69,MEIA
29,180,80,81,3,3,69,73,75,78,79,MEIA
27,172,69,81,3,4,74,81,86,76,84,MEIA
31,171,63,81,5,4,72,77,83,26,51,MEIA
35,181,82,81,3,2,61,57,62,82,75,ZAGUEIRO
31,171,63,81,5,4,72,77,83,26,51,MEIA
27,188,83,81,3,3,82,60,71,34,75,ATACANTE
30,188,84,81,4,4,80,56,74,29,80,ATACANTE
19,181,70,80,4,5,80,74,81,40,70,ATACANTE
22,175,68,80,3,3,66,78,80,74,69,MEIA
22,188,77,80,3,3,30,64,68,79,76,ZAGUEIRO
23,187,81,80,3,2,31,63,68,82,72,ZAGUEIRO
23,191,89,80,3,1,0,0,0,0,0,GOLEIRO
22,176,72,80,5,4,78,82,78,68,67,MEIA
24,184,75,80,3,2,49,72,71,79,77,ZAGUEIRO
22,180,76,80,4,3,74,81,78,62,68,VOLANTE
25,187,80,80,3,2,34,46,63,83,74,ZAGUEIRO
23,176,74,80,3,3,58,77,83,71,66,MEIA
24,183,77,80,3,3,80,53,73,38,71,ATACANTE
22,178,73,80,5,4,77,70,84,53,76,ATACANTE
24,184,74,80,3,3,50,73,71,77,73,VOLANTE
24,180,73,80,5,4,64,73,79,75,81,ZAGUEIRO
21,167,63,80,3,3,71,77,82,55,61,VOLANTE
22,186,82,80,4,2,38,50,59,81,83,ZAGUEIRO
23,187,79,80,3,1,0,0,0,0,0,GOLEIRO
24,178,74,80,3,3,51,70,78,76,66,ZAGUEIRO
24,185,85,80,3,3,51,77,77,77,77,ZAGUEIRO
22,183,74,80,3,4,77,61,76,30,81,ATACANTE
25,188,77,80,3,1,0,0,0,0,0,GOLEIRO
23,181,77,80,4,3,79,69,78,53,72,ATACANTE
23,174,68,80,3,4,75,76,83,30,57,VOLANTE
24,188,77,80,4,4,75,75,85,39,67,ATACANTE
24,189,85,80,3,3,48,69,74,79,85,VOLANTE
22,181,75,80,4,3,70,75,78,73,78,MEIA
23,176,66,80,3,3,53,71,77,77,69,ZAGUEIRO
22,186,84,80,3,3,80,68,72,32,79,ATACANTE
25,180,71,80,3,4,69,79,80,66,67,MEIA
24,190,96,80,3,2,51,59,55,78,83,ZAGUEIRO
25,180,75,80,4,4,67,81,79,72,74,MEIA
24,180,75,80,3,2,53,70,71,81,77,ZAGUEIRO
25,182,70,80,3,3,51,68,75,78,74,ZAGUEIRO
25,188,84,80,4,4,71,78,80,73,80,VOLANTE
24,181,80,80,4,4,76,72,83,29,69,VOLANTE
23,186,72,80,3,3,47,75,76,78,66,VOLANTE
24,172,70,80,4,3,73,76,80,75,62,MEIA
24,183,78,80,3,2,49,58,61,81,74,ZAGUEIRO
25,188,82,80,3,3,79,59,78,31,72,ATACANTE
26,180,77,80,3,3,67,79,76,78,74,ZAGUEIRO
25,175,70,80,4,4,73,78,84,66,73,MEIA
26,179,70,80,3,4,73,81,77,73,72,MEIA
27,184,78,80,3,2,46,74,70,81,72,ZAGUEIRO
25,177,73,80,4,4,73,75,87,30,56,ATACANTE
26,170,67,80,3,4,61,78,85,74,66,ZAGUEIRO
28,194,81,80,2,1,0,0,0,0,0,GOLEIRO
26,191,82,80,3,2,49,62,66,80,79,ZAGUEIRO
26,168,67,80,2,4,77,81,83,37,50,MEIA
24,182,67,80,2,4,73,78,82,43,52,VOLANTE
26,191,91,80,2,1,0,0,0,0,0,GOLEIRO
25,185,78,80,4,4,80,70,78,39,81,ATACANTE
25,186,77,80,3,3,42,58,62,79,80,ZAGUEIRO
25,174,63,80,2,4,74,76,82,48,63,MEIA
25,174,67,80,3,3,62,76,81,54,62,VOLANTE
26,167,59,80,3,4,72,78,85,32,50,MEIA
28,189,88,80,4,1,0,0,0,0,0,GOLEIRO
27,184,82,80,4,1,0,0,0,0,0,GOLEIRO
27,185,80,80,2,2,41,65,63,81,75,ZAGUEIRO
26,195,80,80,5,4,76,81,77,65,73,MEIA
26,184,83,80,3,2,61,64,59,81,80,ZAGUEIRO
26,188,83,80,2,2,32,63,54,82,74,ZAGUEIRO
25,187,82,80,5,3,74,77,79,76,83,MEIA
27,180,66,80,3,4,78,67,77,39,75,ATACANTE
28,188,77,80,3,2,59,67,65,83,79,VOLANTE
